Recruitment Process,Requirement Name,User Stories Needed (IDs/titles),User Stories Needed (IDs/titles),Inputs Needed from Other Sub‑Systems,Downstream Sub‑Systems Depending on This Output,Key BRs (IDs),Key BRs
Onboarding Process,Payroll & Benefits Initiation,ONB-019,"As a HR Manager, I want the system to automatically process signing bonuses based on contract after a new hire is signed. which means you need to trigger service that fills collection that relates user to signing Bonuswhich is in payroll execution module",Recruitment (Contract Details),Payroll Module (PY),BR 9(a),This relates to the Payroll requirement REQ-PY-27 to automatically process signing bonuses
,,,,,,,
Offboarding Process,Termination & Resignation Initiation,OFF-001,"As an HR Manager, I want to initiate termination reviews based on warnings and performance data / manager requests, so that exits are justified.",Performance Management (PM) (Warnings/Low Scores),Offboarding Approval Workflow,BR 4,Employee separation needs an effective date and a clearly stated and identified reason for exit. Termination reviews based on performance must follow due process.
Offboarding Process,"Clearance, Handover & Access Revocation",OFF-006,"As an HR Manager, I want an offboarding checklist (IT assets, ID cards, equipment), so no company property is lost.",None (Configuration),Clearance Workflow (OFF-010),BR 13(a),
Offboarding Process,"Clearance, Handover & Access Revocation",OFF-007,"As a System Admin, I want to revoke system and account access upon termination, so security is maintained.",Employee Profile (Inactive Status),Notifications (N) IT/Access Systems,"BR 3(c), 19",
Offboarding Process,"Clearance, Handover & Access Revocation",OFF-010,"As HR Manager, I want multi-department exit clearance sign-offs (IT, Finance, Facilities, Line Manager), with statuses, so the employee is fully cleared.",Clearance Status Updates (from Depts),Payroll (Final Settlement),"BR 13(b, c), 14","Clearance checklist required across departments (IT, HR, Admin, Finance). Final approvals/signature form should be filed to HR to complete the offboarding process."
Offboarding Process,Exit Settlements & Benefits,OFF-013,"As HR Manager, I want to send offboarding notification to trigger benefits termination and final pay calc (unused leave, deductions), so settlements are accurate. which means you need to trigger service that fills collection that relates user to benefit which is in payroll execution module","Leaves Module (Balance), Employee Profile (Benefits)",Payroll Module (PY),"BR 9, 11",Leaves’ Balance must be reviewed and settled (unused annuals to be encashed). Benefits plans are set to be auto-terminated as of the end of the notice period.
Offboarding Process,Termination & Resignation Initiation,"OFF-018, OFF-019","As an Employee, I want to be able to request a Resignation request with reasoning. As an Employee, I want to be able to track my resignation request status.",Employee Profile (Resignation Reason),Offboarding Approval Workflow,BR 6,"Employee separation can be triggered by resignation. A clearly identified offboarding approval workflow should be identified (e.g., Employee resigning > Line Manager > Financial approval > HR processing/approval)."
,,,,,,,
,,,,,,,
"Workflow: Minimized Recruitment, Onboarding, and Offboarding",,,,,,,
The workflow traces the sequence of actions starting from job definition (Recruitment) through new hire setup (Onboarding) and finally through separation (Offboarding).,,,,,,,
Phase 1: Recruitment (REC),,,,,,,
"This phase manages attracting and selecting candidates, culminating in a signed offer and the triggering of pre-boarding tasks.",,,,,,,
Step,Requirement ID,User Story Summary / Action,,,,,
1. Preparation & Templates,REC-003,HR Manager defines standardized job description templates.,,,,,
2. Process Definition,REC-004,HR Manager establishes hiring process templates for stages and progress updates.,,,,,
3. Job Posting,REC-023,HR Employee previews and publishes jobs on the company careers page.,,,,,
4. Application & Consent,REC-007,Candidate uploads CV and applies for a position.,,,,,
,REC-028,Candidate gives consent for personal-data processing.,,,,,
5. Referral Tagging,REC-030,HR Employee tags candidates as referrals.,,,,,
6. Candidate Tracking,REC-008,HR Employee tracks candidates through each stage of the hiring process.,,,,,
,REC-009,HR Manager monitors recruitment progress across open positions.,,,,,
7. Evaluation Setup,REC-020,HR Employee uses structured assessment and scoring forms per role.,,,,,
8. Interview Coordination,REC-010,HR Employee schedules and manages interview invitations.,,,,,
,REC-021,HR Employee coordinates interview panels.,,,,,
9. Feedback & Scoring,REC-011,HR Employee provides feedback/interview score for filtration.,,,,,
10. Communication,REC-017,Candidate receives updates about application status.,,,,,
,REC-022,HR Employee sends automated rejection notifications.,,,,,
11. Offer Management,REC-014,HR Manager manages job offers and approvals.,,,,,
,REC-018,"HR Employee/Manager generates, sends and collects electronically signed offer letters.",,,,,
12. Handoff to Onboarding,REC-029,HR Employee triggers pre-boarding tasks after offer acceptance.,,,,,
Phase 2: Onboarding (ONB),,,,,,,
"This phase focuses on transitioning the accepted candidate to an active employee, ensuring compliance, resource allocation, and initial payroll setup.",,,,,,,
Step,Requirement ID,User Story Summary / Action,,,,,
1. Setup & Checklist,ONB-001,HR Manager creates onboarding task checklists.,,,,,
2. Profile Creation,ONB-002,HR Manager accesses signed contract detail to create an employee profile.,,,,,
3. Document Collection,ONB-007,"New Hire uploads compliance documents (e.g., ID, certifications).",,,,,
4. Resource Reservation,ONB-012,"HR Employee reserves and tracks equipment, desk and access cards.",,,,,
5. System Access,ONB-009,"System Admin provisions system access (payroll, email, internal systems).",,,,,
,ONB-013,HR Manager ensures automated account provisioning on start date and scheduled revocation on exit.,,,,,
6. New Hire Tracking,ONB-004,New Hire views onboarding steps in a tracker.,,,,,
,ONB-005,New Hire receives reminders and notifications.,,,,,
7. Payroll Initiation,ONB-018,HR Manager initiates system to automatically handle payroll initiation based on contract signing.,,,,,
,ONB-019,HR Manager initiates system to automatically process signing bonuses.,,,,,
Phase 3: Offboarding (OFF),,,,,,,
"This phase manages the compliant separation of the employee, whether due to resignation or termination, focusing on asset recovery and final settlements.",,,,,,,
Step,Requirement ID,User Story Summary / Action,,,,,
1. Initiation (Employee),OFF-018,Employee requests a Resignation request with reasoning.,,,,,
2. Tracking Resignation,OFF-019,Employee tracks resignation request status.,,,,,
3. Initiation (Manager/HR),OFF-001,HR Manager initiates termination reviews based on warnings and performance data/manager requests.,,,,,
4. Clearance Checklist,OFF-006,"HR Manager uses an offboarding checklist for asset recovery (IT assets, ID cards, equipment).",,,,,
5. Multi-Department Sign-off,OFF-010,"HR Manager obtains multi-department exit clearance sign-offs (IT, Finance, Facilities, Line Manager).",,,,,
6. System Revocation,OFF-007,System Admin revokes system and account access upon termination.,,,,,
7. Final Settlement Trigger,OFF-013,HR Manager sends offboarding notification to trigger benefits termination and final pay calc,,,,,
,,,,,,,
Futher Elaboration,,,,,,,
Step,Actor,Action / Process,Supporting User Stories (US) and Rules (BR),Outputs & Data Flow,,,
Phase I: Recruitment (Acquisition & Offer),,,,,,,
1. Setup Templates,HR Manager,Define standardized job description templates [REC-003] and establish hiring process templates [REC-004].,"US: REC-003, REC-004. BR: Process template defines stages and progress percentage.",Output: Standardized Templates (Stored). Data Flow: Consumed by job posting (REC-023).,,,
2. Publish Job,HR Employee,Preview and publish jobs on the company careers page [REC-023].,US: REC-023. BR: Posting must be automatic once approved.,Output: Active Job Posting (Live). Data Flow: Feeds job list to Candidate Dashboard. Updates Org Structure (position marked “Vacant”).,,,
3. Application & Consent,Candidate,Upload CV [REC-007] and give consent for personal-data processing [REC-028].,"US: REC-007, REC-028. BR: Storing applications requires applicant authorization.",Output: Applicant Record; Consent Logged. Data Flow: CV stored in Talent Pool; consent enables compliance checks.,,,
4. Pipeline & Tags,HR Employee,Tag candidates as referrals [REC-030] and track candidates through each stage of the hiring process [REC-008].,"US: REC-030, REC-008. BR: Applications tracked through defined stages. Referrals get preferential filtering.",Output: Updated Candidate Status; Referral Tagged. Data Flow: Status change triggers notifications (N-004).,,,
5. Evaluation,HR Employee,"Use structured assessment and scoring forms per role [REC-020], coordinate interviews [REC-021], and schedule/manage invitations [REC-010].","US: REC-020, REC-021, REC-010, REC-011. BR: Structured assessment forms required; ranking rules enforced.",Output: Interview Feedback / Score Completed. Data Flow: Scores logged to candidate record for ranking.,,,
6. Monitoring & Communication,HR Manager / Candidate,HR monitors recruitment progress [REC-009]; candidates get automatic updates [REC-017].,"US: REC-009, REC-017. BR: Status tracking must be real-time and visualized; automated notifications required.",Output: Progress Dashboard View; Status Notifications (N-051). Data Flow: Consumes pipeline data.,,,
7. Offer & Transition,HR Manager / HR Employee,Manage job offers and approvals [REC-014]; generate and send e-signed offers [REC-018]; send automated rejections [REC-022]; trigger pre-boarding [REC-029].,"US: REC-014, REC-018, REC-022, REC-029. BR: Offer acceptance triggers Onboarding; offer data used for contract creation.",Output: Signed Offer Letter (Stored); Rejection Sent. Data Flow: Triggers Onboarding initiation; data populates Employee Profile.,,,
Phase II: Onboarding (Integration & Provisioning),,,,,,,
8. Profile Creation & Checklist,HR Manager,Create onboarding task checklists [ONB-001]; access signed contract to create employee profile [ONB-002].,"US: ONB-001, ONB-002. BR: Triggered by offer acceptance; checklists customizable.",Output: Employee Profile (Active); Onboarding Checklist (Activated). Data Flow: Uses signed contract data from Recruitment; outputs to Employee Profile.,,,
9. Compliance & Tracking,New Hire,View onboarding tracker [ONB-004]; receive reminders [ONB-005]; upload compliance documents [ONB-007].,"US: ONB-004, ONB-005, ONB-007. BR: Tracker and reminders required; documents stored securely.",Output: Documents Uploaded (Stored); Task Progress Updated. Data Flow: Documents stored in Employee Profile.,,,
10. Resource Provisioning,HR Employee / System Admin,Reserve and track equipment [ONB-012]; provision secure system access [ONB-009].,"US: ONB-012, ONB-009. BR: IT and payroll access automated; all resources tracked.",Output: Access Granted; Equipment Reserved. Data Flow: Logged for audit; feeds Time Management (clock access).,,,
11. Payroll Initiation & Benefits,HR Manager,Automate payroll initiation upon contract signing [ONB-018]; process signing bonuses [ONB-019].,"US: ONB-018, ONB-019. BR: Bonuses treated as distinct payroll components; payroll trigger automatic.","Output: Payroll Initiation Triggered; Bonus Processed. Data Flow: Triggers payroll processing steps (REQ-PY-23, REQ-PY-27).",,,
12. Scheduled Access Management,HR Manager / System Admin,Schedule automatic provisioning and revocation of accounts [ONB-013].,US: ONB-013. BR: Provisioning and security must be consistent.,Output: Scheduled Revocation Flag. Data Flow: Info passed to Offboarding (OFF-007) for security control.,,,
Phase III: Offboarding (Separation & Clearance),,,,,,,
13. Exit Initiation,Employee / HR Manager,Employee submits resignation [OFF-018] or HR initiates termination review [OFF-001].,"US: OFF-018, OFF-019, OFF-001. BR: Separation may result from resignation or termination; justification mandatory.",Output: Resignation Request Submitted; Termination Review Started. Data Flow: Status triggers workflow approval.,,,
14. Clearance & Assets,HR Manager,"Manage offboarding checklist and departmental sign-offs (IT, Finance, Facilities, etc.) [OFF-006, OFF-010].","US: OFF-006, OFF-010. BR: Multi-department clearance required; completion tracked.",Output: Offboarding Checklist Active; Clearance Sign-offs Logged. Data Flow: Clearance governs final payroll release.,,,
15. Security Revocation,System Admin,Revoke system and account access on termination [OFF-007].,US: OFF-007. BR: Access revocation required for security.,Output: Access Disabled (Logged). Data Flow: Logs stored in audit trail; confirms ONB-013 revocation.,,,
16. Final Settlement,HR Manager,Trigger final pay calculation and benefits termination [OFF-013].,"US: OFF-013. BR: Final pay includes unused leave, deductions, loans, severance; benefits auto-terminate.",Output: Final Pay Calculation Triggered; Benefits Termination Scheduled. Data Flow: Sends encashment data from Leaves; triggers Payroll processing.,,,
